"185","13","12","Porto"
"186","13","13","Póvoa de Varzim"
"187","13","14","Santo Tirso"
"188","13","15","Valongo"
"189","13","16","Vila do Conde"
"190","13","17","Vila Nova de Gaia"
"191","13","18","Trofa"
"192","13","1","Amarante"
"193","13","2","Baião"
"194","13","3","Felgueiras"
"195","13","4","Gondomar"
"196","13","5","Lousada"
"197","14","6","Cartaxo"
"198","14","7","Chamusca"
"199","14","8","Constância"
"200","14","9","Coruche"
"201","14","10","Entroncamento"
"202","14","11","Ferreira do Zêzere"
"203","14","12","Golegã"
"204","14","13","Mação"
"205","14","14","Rio Maior"
"206","14","15","Salvaterra de Magos"
"207","14","16","Santarém"
"208","14","17","Sardoal"
"209","14","18","Tomar"
"210","14","19","Torres Novas"
"211","14","20","Vila Nova da Barquinha"
"212","14","21","Ourém"
"213","14","1","Abrantes"
"214","14","2","Alcanena"
"215","14","3","Almeirim"
"216","14","4","Alpiarça"
"217","14","5","Benavente"
"218","15","6","Moita"
"219","15","7","Montijo"
"220","15","8","Palmela"
"221","15","9","Santiago do Cacém"
"222","15","10","Seixal"
"223","15","11","Sesimbra"
"224","15","12","Setúbal"
"225","15","13","Sines"
"226","15","1","Alcácer do Sal"
"227","15","2","Alcochete"
"228","15","3","Almada"
"229","15","4","Barreiro"
"230","15","5","Grândola"
"231","16","6","Ponte da Barca"
"232","16","7","Ponte de Lima"
"233","16","8","Valença"
"234","16","9","Viana do Castelo"
"235","16","10","Vila Nova de Cerveira"
"236","16","1","Arcos de Valdevez"
"237","16","2","Caminha"
"238","16","3","Melgaço"
"239","16","4","Monção"
"240","16","5","Paredes de Coura"
"241","17","5","Mondim de Basto"
"242","17","6","Montalegre"
"243","17","7","Murça"
"244","17","8","Peso da Régua"
"245","17","9","Ribeira de Pena"
"246","17","10","Sabrosa"
"247","17","11","Santa Marta de Penaguião"
"248","17","12","Valpaços"
"249","17","13","Vila Pouca de Aguiar"
"250","17","14","Vila Real"
"251","17","1","Alijó"
"252","17","2","Boticas"
"253","17","3","Chaves"
"254","17","4","Mesão Frio"
"255","18","5","Lamego"
"256","18","6","Mangualde"
"257","18","7","Moimenta da Beira"
"258","18","8","Mortágua"
"259","18","9","Nelas"
"260","18","10","Oliveira de Frades"
"261","18","11","Penalva do Castelo"
"262","18","12","Penedono"
"263","18","13","Resende"
"264","18","14","Santa Comba Dão"
"265","18","15","São João da Pesqueira"
"266","18","16","São Pedro do Sul"
"267","18","17","Sátão"
"268","18","18","Sernancelhe"
"269","18","19","Tabuaço"
"270","18","20","Tarouca"
